Date,Dog,Handler,Cheetah,Negative 1,Rep Number,Number True Alerts,Number False Alerts,# of correct dismissals,# of misses,FA1 (s),FA2 (s),FA3 (s),FA4 (s),FA5 (s),FA6 (s),FA7 (s),FA8 (s)
5/11/2022,Persi,Edwin,CH9,CA2,3,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,4,1,0,1,0,,,,,,,,
5/11/2022,Persi,Edwin,CH9,CA2,1,1,0,1,0,,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,1,1,1,0,0,600,,,,,,,
5/11/2022,Madi,Edwin,CH9,CA2,2,1,0,0,0,,,,,,,,
5/12/2022,Persi,Edwin,CH14,LE2,1,1,0,0,0,,,,,,,,
5/12/2022,Persi,Edwin,CH14,LE2,2,1,0,1,0,,,,,,,,
5/12/2022,Persi,Edwin,CH14,LE2,3,1,0,0,0,,,,,,,,
5/12/2022,Persi,Edwin,CH14,LE2,4,1,0,1,0,,,,,,,,
5/12/2022,Persi,Edwin,CH14,CA2,1,1,0,1,0,,,,,,,,
5/12/2022,Persi,Edwin,CH14,CA2,2,1,0,1,0,,,,,,,,
5/12/2022,Persi,Edwin,CH14,CA2,3,1,0,0,0,,,,,,,,
5/12/2022,Madi,Edwin,CH14,CA2,1,1,0,1,0,,,,,,,,
5/12/2022,Madi,Edwin,CH14,CA2,2,1,0,0,0,,,,,,,,
5/12/2022,Madi,Edwin,CH14,CA2,3,1,1,0,0,5,,,,,,,
5/12/2022,Madi,Edwin,CH14,CA2,4,1,2,0,0,5,17,,,,,,
5/12/2022,Madi,Edwin,CH14,CA2,5,1,0,0,0,,,,,,,,
5/12/2022,Madi,Edwin,CH14,CA2,6,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,LE1,1,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,LE1,2,1,0,0,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,LE1,3,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,LE1,4,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,LE1,5,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,CA2,1,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,CA2,2,1,0,0,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,CA2,3,1,0,0,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,CA2,4,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,CA2,5,1,0,1,0,,,,,,,,
5/13/2022,Persi,Edwin,CH10,CA2,6,1,0,1,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,CA2,1,1,0,0,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,CA2,2,1,0,1,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,CA2,3,1,0,0,1,,,,,,,,
5/13/2022,Madi,Edwin,CH10,CA2,4,1,0,0,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,CA2,5,1,0,1,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,LE1,1,1,2,0,0,19,4,,,,,,
5/13/2022,Madi,Edwin,CH10,LE1,2,1,0,0,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,LE1,3,1,0,1,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,LE1,4,1,0,0,1,,,,,,,,
5/13/2022,Madi,Edwin,CH10,LE1,5,1,0,1,0,,,,,,,,
5/13/2022,Madi,Edwin,CH10,LE1,6,1,0,0,1,,,,,,,,
5/14/2022,Madi,Edwin,CH3,LE1,1,1,0,1,0,,,,,,,,
5/14/2022,Madi,Edwin,CH3,LE1,2,1,0,0,0,,,,,,,,
5/14/2022,Madi,Edwin,CH3,LE1,3,1,1,0,0,14,,,,,,,
5/14/2022,Madi,Edwin,CH3,LE1,4,1,0,1,0,,,,,,,,
5/14/2022,Persi,Edwin,CH3,LE1,1,1,1,0,0,2,,,,,,,
5/14/2022,Persi,Edwin,CH3,LE1,2,1,1,0,0,4,,,,,,,
5/14/2022,Persi,Edwin,CH3,LE1,3,1,0,1,0,,,,,,,,
5/14/2022,Persi,Edwin,CH3,LE1,4,1,0,1,1,,,,,,,,
5/14/2022,Persi,Edwin,CH3,LE1,5,1,0,1,0,,,,,,,,
5/17/2022,Madi,Edwin,CH13,LE2,1,1,3,0,1,8,17,13,,,,,
5/17/2022,Madi,Edwin,CH13,LE2,2,1,1,0,0,4,1,,,,,,
5/17/2022,Madi,Edwin,CH13,LE2,3,1,0,1,0,,,,,,,,
5/17/2022,Madi,Edwin,CH13,LE2,4,1,2,0,0,6,4,,,,,,
5/17/2022,Madi,Edwin,CH13,LE2,5,1,3,1,1,3,8,1,,,,,
5/17/2022,Madi,Edwin,CH13,CA2,1,1,0,2,2,,,,,,,,
5/17/2022,Madi,Edwin,CH13,CA2,2,1,0,1,0,,,,,,,,
5/17/2022,Madi,Edwin,CH13,CA2,3,1,0,0,0,,,,,,,,
5/17/2022,Madi,Edwin,CH13,CA2,4,1,0,1,0,,,,,,,,
5/17/2022,Madi,Edwin,CH13,CA2,5,1,0,0,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,CA2,1,1,0,0,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,CA2,2,1,0,1,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,CA2,3,1,0,0,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,CA2,4,1,0,1,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,CA2,5,1,0,1,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,LE2,1,1,0,2,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,LE2,2,1,0,0,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,LE2,3,1,0,1,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,LE2,4,4,0,1,0,,,,,,,,
5/17/2022,Persi,Edwin,CH13,LE2,5,1,0,0,0,,,,,,,,
5/18/2022,Madi,Edwin,CH14,LE3,1,1,0,0,0,,,,,,,,
5/18/2022,Madi,Edwin,CH14,LE3,2,1,0,0,2,,,,,,,,
5/18/2022,Madi,Edwin,CH14,LE3,3,1,0,1,1,,,,,,,,
5/18/2022,Madi,Edwin,CH14,LE3,4,1,4,0,0,7,5,9,30,,,,
5/18/2022,Madi,Edwin,CH14,LE3,5,1,2,0,0,5,3,,,,,,
5/18/2022,Madi,Edwin,CH14,LE3,6,1,0,0,0,,,,,,,,
5/18/2022,Persi,Edwin,CH14,LE3,1,1,1,0,1,1,,,,,,,
5/18/2022,Persi,Edwin,CH14,LE3,2,1,0,1,0,,,,,,,,
5/18/2022,Persi,Edwin,CH14,LE3,3,1,2,0,1,3,1,,,,,,
5/18/2022,Persi,Edwin,CH14,LE3,4,1,0,1,0,,,,,,,,
5/18/2022,Persi,Edwin,CH14,LE3,5,1,0,1,0,,,,,,,,
5/19/2022,Persi,Edwin,CH15,LE3,1,1,0,0,0,,,,,,,,
5/19/2022,Persi,Edwin,CH15,LE3,2,1,0,1,1,,,,,,,,
5/19/2022,Persi,Edwin,CH15,LE3,3,1,0,2,1,,,,,,,,
5/19/2022,Persi,Edwin,CH15,LE3,4,1,0,0,0,,,,,,,,
5/19/2022,Persi,Edwin,CH15,LE3,5,1,0,1,0,,,,,,,,
5/19/2022,Persi,Edwin,CH15,CA3,1,1,1,0,0,2,,,,,,,
5/19/2022,Persi,Edwin,CH15,CA3,2,1,0,1,0,,,,,,,,
5/19/2022,Persi,Edwin,CH15,CA3,3,1,0,1,0,,,,,,,,
5/19/2022,Persi,Edwin,CH15,CA3,4,1,0,1,0,,,,,,,,
5/19/2022,Persi,Edwin,CH15,CA3,5,1,0,1,0,,,,,,,,
5/20/2022,Madi,Edwin,CH15,LE3,1,1,0,1,0,,,,,,,,
5/20/2022,Madi,Edwin,CH15,LE3,2,1,2,0,0,3,4,,,,,,
5/20/2022,Madi,Edwin,CH15,LE3,3,1,0,0,1,,,,,,,,
5/20/2022,Madi,Edwin,CH15,LE3,4,1,1,0,0,2,,,,,,,
5/20/2022,Madi,Edwin,CH15,LE3,5,1,0,0,0,,,,,,,,
5/20/2022,Madi,Edwin,CH15,CA3,1,1,0,1,0,,,,,,,,
5/20/2022,Madi,Edwin,CH15,CA3,2,1,1,1,1,4,,,,,,,
5/20/2022,Madi,Edwin,CH15,CA3,3,1,0,1,0,,,,,,,,
5/20/2022,Madi,Edwin,CH15,CA3,4,1,0,0,1,,,,,,,,
5/20/2022,Madi,Edwin,CH15,CA3,5,1,0,1,1,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,LE3,1,1,0,1,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,LE3,2,1,0,1,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,LE3,3,1,0,0,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,LE3,4,1,0,1,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,LE3,5,1,0,1,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,CA3,1,1,0,1,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,CA3,2,1,0,1,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,CA3,3,1,0,0,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,CA3,4,1,0,1,0,,,,,,,,
5/24/2022,Persi,Naomi ,CH12,CA3,5,1,0,1,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,LE3,1,1,2,1,0,4,8,,,,,,
5/24/2022,Madi,Edwin,CH12,LE3,2,1,0,0,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,LE3,3,1,0,1,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,LE3,4,1,0,0,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,LE3,5,1,0,1,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,CA3,1,1,0,0,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,CA3,2,1,0,0,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,CA3,3,1,0,1,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,CA3,4,1,0,1,0,,,,,,,,
5/24/2022,Madi,Edwin,CH12,CA3,5,1,0,1,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,LE3,1,1,1,1,1,8,,,,,,,
5/27/2022,Persi,Edwin,CH13,LE3,2,1,0,0,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,LE3,3,1,0,1,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,LE3,4,1,0,1,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,LE3,5,1,0,0,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,CA3,1,1,0,0,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,CA3,2,1,0,1,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,CA3,3,1,0,1,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,CA3,4,1,0,0,0,,,,,,,,
5/27/2022,Persi,Edwin,CH13,CA3,5,1,0,1,0,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,LE3,1,1,2,0,0,23,16,,,,,,
5/27/2022,Madi,Naomi ,CH13,LE3,2,1,0,0,1,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,LE3,3,1,0,1,0,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,LE3,4,,,,,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,LE3,5,1,0,0,0,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,CA3,1,1,0,0,0,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,CA3,2,1,0,0,0,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,CA3,3,1,0,1,0,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,CA3,4,1,0,0,0,,,,,,,,
5/27/2022,Madi,Naomi ,CH13,CA3,5,1,0,0,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,none,1,1,0,0,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,LE3,1,1,0,1,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,LE3,2,1,0,0,1,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,LE3,3,1,0,0,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,LE3,4,1,0,2,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,LE3,5,1,0,1,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,CA2,1,1,0,1,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,CA2,2,1,0,0,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,CA2,3,1,0,0,1,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,CA2,4,1,0,0,0,,,,,,,,
5/29/2022,Persi,Naomi ,CH13,CA2,5,1,0,0,0,,,,,,,,
5/29/2022,Madi,Naomi ,CH13,none,1,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,CA3,1,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,CA3,2,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,CA3,3,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,CA3,4,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,CA3,5,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,LE3,1,1,0,1,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,LE3,2,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,LE3,3,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,LE3,4,1,0,0,0,,,,,,,,
6/1/2022,Persi,Naomi ,CH13,LE3,5,1,0,0,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,CA4,1,1,0,0,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,CA4,2,1,0,0,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,CA4,3,1,0,0,1,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,CA4,4,1,0,0,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,CA4,5,1,0,1,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,LE4,1,1,0,1,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,LE4,2,1,0,1,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,LE4,3,1,0,0,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,LE4,4,1,0,0,0,,,,,,,,
6/3/2022,Persi,Naomi ,CH13,LE4,5,1,0,1,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,none,1,1,0,0,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,none,2,1,0,0,1,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,CA4,3,1,0,0,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,CA4,4,1,0,1,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,CA4,5,1,0,1,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,CA4,6,1,0,0,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,LE4,1,1,0,0,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,LE4,2,1,0,0,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,LE4,3,1,0,1,1,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,LE4,4,1,0,1,0,,,,,,,,
6/7/2022,Madi,Naomi ,CH13,LE4,5,1,0,1,1,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,LE4,1,1,0,0,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,LE4,2,1,0,0,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,LE4,3,1,0,0,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,LE4,4,1,0,0,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,LE4,5,1,0,0,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,CA4,1,1,0,0,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,CA4,2,1,0,0,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,CA4,3,1,0,1,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,CA4,4,1,0,1,0,,,,,,,,
6/7/2022,Persi,Naomi ,CH13,CA4,5,1,0,0,0,,,,,,,,
